day,month,year,type,operator,fat.,cat,Aircraft Type,Aircraft Cat
1,Apr,1931,Ford 5-AT-C Tri-Motor,Panagra,0,A1,Military_research,Military
1,Apr,1937,Ford 5-AT-C Tri-Motor,Star Air Service,0,A1,Military_research,Military
1,Apr,1956,Martin 4-0-4,TWA,22,A1,Commercial_civil,Commercial
1,Aug,1940,Handley Page HP.42E,RAF,,A1,Military_research,Military
1,Aug,1937,Junkers Ju-52/3m,Eurasia,,A1,Commercial_civil,Commercial
1,Aug,1942,Junkers Ju-52/3mg4e,German AF,0,A1,Commercial_civil,Commercial
1,Dec,1984,Boeing 720-027,NASA,0,O1,Commercial_civil,Commercial
1,Dec,1944,Consolidated PBY-5A Catalina,US Navy,,A1,Military_naval,Military
1,Dec,1944,Douglas DC-3-209,TWA,8,A1,Military_research,Military
1,Dec,1944,Lockheed C-60A-1-LO Lodestar,USAAF,9,A1,Military_transport,Military
1,Dec,1942,Short S.23 Empire Flying Boat Mk I,BOAC,,O1,Military_research,Military
1,Jul,1947,Amiot AAC.1 (Junkers Ju-52),Air France,13,A1,Commercial_civil,Commercial
1,Jul,1947,Avro 685 York C.1,RAF,5,A1,Military_others,Military
1,Jul,1941,Consolidated Catalina I,RAF,0,A1,Military_transport,Military
1,Jul,1947,Douglas C-47 (DC-3),TAN,,A1,Military_transport,Military
1,Jul,1951,Douglas C-47A (DC-3),USAF,5,A1,Military_research,Military
1,Jul,1942,Douglas C-49E (DC-3),USAAF,21,A1,Military_transport,Military
1,Jul,1934,Ford 4-AT-D Tri-Motor,Private,0,A1,Military_research,Military
1,Jul,1947,Ilyushin Il-12P,Aeroflot / Moscow,4,A1,Commercial_civil,Commercial
1,Jun,1939,Armstrong Whitworth AW.15 Atalanta,Imperial Airways,,A1,Military_others,Military
1,Jun,1942,Consolidated PBY-5 Catalina,US Navy,8,A1,Military_naval,Military
1,Jun,1945,Douglas C-47B (DC-3),RAAF,0,A1,Military_research,Military
1,Jun,1940,Douglas R3D-1 (DC-5),Douglas,4,A1,Military_naval,Military
1,Mar,1938,Douglas DC-2-112,TWA,9,A1,Military_transport,Military
1,Mar,1940,Handley Page HP.42E,Imperial Airways,8,A1,Military_research,Military
1,Mar,1941,Junkers Ju-52/3mge,Iberia,0,A1,Commercial_civil,Commercial
1,Mar,1941,Junkers Ju-52/3mte,Deutsche Lufthansa,3,A1,Commercial_civil,Commercial
1,May,1980,Boeing 727,PSA,0,H2,Commercial_civil,Commercial
1,May,1961,Convair CV-440,National Airlines,0,H2,Commercial_civil,Commercial
1,May,1961,Douglas C-47 (DC-3),Indian AF,0,A1,Military_transport,Military
1,May,1942,Douglas DST-A-207A (DC-3),United Airlines,17,A1,Commercial_civil,Commercial
1,May,1939,Short S.23 Empire Flying Boat Mk I,Imperial Airways,2,A1,Military_research,Military
1,Nov,2006,Antonov An-12BP,748 Air Services,0,A1,Military_transport,Military
1,Nov,2006,BAe-125-700A,Juventude,0,A1,Military_research,Military
1,Nov,2011,Boeing 767-35DER,LOT,0,A1,Commercial_civil,Commercial
1,Nov,1942,Douglas C-51 (DC-3-270C),USAAF,0,A1,Military_transport,Military
1,Nov,1936,Junkers Ju-52/3mge,Deutsche Lufthansa,11,A1,Commercial_civil,Commercial
1,Oct,1942,Douglas C-39 (DC-2),USAAF,22,A1,Military_transport,Military
1,Oct,1938,Junkers Ju-52/3mte,Deutsche Lufthansa,13,A1,Commercial_civil,Commercial
1,Oct,1937,Short S.23 Empire Flying Boat Mk I,Imperial Airways,3,A1,Military_research,Military
1,Sep,1941,Bloch 220,Air France,15,A1,Commercial_civil,Commercial
1,Sep,1951,Douglas DC-6,Mexicana,0,A1,Commercial_civil,Commercial
1,Sep,2006,Tupolev Tu-154M,Iran Air Tours,28,A1,Commercial_civil,Commercial
2,Apr,1956,Boeing 377 Stratocruiser,Northwest Orient Airlines,5,A1,Commercial_civil,Commercial
2,Aug,1947,Avro 691 Lancastrian C.3,BSAA,11,A1,Military_others,Military
2,Aug,1919,Caproni Ca.48,Caproni,14,A1,Military_bomber,Military
2,Aug,1951,Douglas C-47B (DC-3),French AF,6,A1,Military_research,Military
2,Aug,1941,Douglas DC-2-120,US Treasury,3,A1,Military_transport,Military
2,Aug,1937,Savoia-Marchetti S.73,Ala Littoria,9,A1,Military_naval,Military
2,Aug,1937,Sikorsky S-43B,Panagra,14,A1,Military_naval,Military
2,Aug,1940,Vickers Valentia,South African AF,8,A1,Military_research,Military
2,Dec,1938,Junkers Ju-52/3mte,Deutsche Lufthansa,0,A1,Commercial_civil,Commercial
2,Feb,1938,Consolidated PBY-2 Catalina,US Navy,3,A1,Military_naval,Military
2,Feb,1938,Consolidated PBY-2 Catalina,US Navy,7,A1,Military_naval,Military
2,Jul,1938,Curtiss YC-30 Condor II,USAAC,0,A1,Military_research,Military
2,Jul,1942,Lockheed 18 Lodestar,Air France,0,A1,Commercial_civil,Commercial
2,Jul,1956,U-1B Otter (DHC-3),US Navy,,A1,Military_research,Military
2,Jun,1980,Antonov An-22A,Soviet AF,3,A1,Military_research,Military
2,Jun,1997,Boeing 747 or 777,Air China,0,H2,Commercial_civil,Commercial
2,Jun,1945,Consolidated PBY-5A Catalina,US Navy,8,A1,Military_naval,Military
2,Jun,1945,Douglas C-47A (DC-3),USAAF,,A1,Military_research,Military
2,Jun,1945,Douglas Dakota IV (DC-3),RAF,5,A1,Military_research,Military
2,Jun,1933,Ford 4-AT-E Tri-Motor,Plane Speaker Corporation,0,O1,Military_research,Military
2,Jun,1940,Junkers Ju-52/3m,German AF,8,C1,Commercial_civil,Commercial
2,Jun,1937,Sikorsky S-43,Chilean AF,9,A1,Military_naval,Military
2,Mar,1956,Douglas C-124C Globemaster II,USAF,17,A1,Military_transport,Military
2,Mar,1942,Douglas DC-3-313,Pennsylvania-Central Airlines,0,A2,Military_research,Military
2,Mar,1939,Ford 6-AT-AS Tri-Motor,Yukon Southern Air Transport,0,O1,Military_research,Military
2,Mar,1956,Vickers Valetta C.1,RAF,7,A1,Military_research,Military
2,May,1980,DC-9-81 (MD-81),McDonnell Douglas,0,A2,Military_research,Military
2,May,1940,de Havilland DH.86B Express,Finnish AF,0,A1,Commercial_civil,Commercial
2,May,1939,Dewoitine D.338,Air France,9,A1,Commercial_civil,Commercial
2,Nov,2001,Cessna 208B Grand Caravan,Stage Air Ltd.,0,A2,Commercial_general,Commercial
2,Nov,1942,Consolidated OA-10 Catalina (PBY-5),USAAF,5,A1,Military_transport,Military
2,Nov,1941,Junkers Ju-52/3m,German AF,1,A1,Commercial_civil,Commercial
2,Nov,2006,Yakovlev Yak-40A,Interisland Airlines,0,A1,Commercial_civil,Commercial
2,Oct,1935,de Havilland DH.86 Express,Holyman's Airways,5,A1,Commercial_civil,Commercial
2,Oct,1932,Ford 5-AT-B Tri-Motor,Pan Am,0,A1,Military_research,Military
2,Oct,2006,Learjet C-21A (Learjet 35A),USAF,0,A1,Military_research,Military
2,Oct,2006,Nord 262A-42,"Business Aviation, op.for Malu Aviation",0,A1,Military_research,Military
2,Sep,1947,Avro 685 York C.1,RAF,0,A1,Military_others,Military
2,Sep,2006,British Aerospace Nimrod MR.2,RAF,14,A1,Military_fighter,Military
2,Sep,1951,Convair CV-240-2,Pan Am,0,A1,Military_bomber,Military
2,Sep,2006,DHC-3 Otter,Alaska Air Taxi,0,A2,Military_research,Military
2,Sep,1934,Ford 5-AT-D Tri-Motor,Hanford's Tri-State Airlines,0,A1,Military_research,Military
2,Sep,1947,Vickers Viking C.2,RAF,0,A1,Military_naval,Military
3,Apr,1956,Curtiss C-46F,TransAir,0,A1,Military_transport,Military
3,Apr,1940,Douglas DC-2-112,TWA,,A1,Military_transport,Military
3,Apr,1937,Douglas DC-3-194B,KLM,8,A1,Military_research,Military
3,Apr,1941,Douglas DC-3-201B,Eastern Air Lines,0,A1,Military_research,Military
3,Apr,1961,Douglas DC-3C,LAN Chile,24,A1,Military_research,Military
3,Apr,1956,Fairchild C-119 Flying Boxcar,USAF,5,A1,Military_others,Military
3,Aug,2006,Antonov An-28,TRACEP-Congo Aviation,17,A1,Military_transport,Military
3,Aug,1935,Douglas DC-2-112,TWA,0,A1,Military_transport,Military
3,Aug,1972,Howard Super Ventura,Beta Leasing Inc.,0,A1,Military_transport,Military
3,Aug,1939,Junkers Ju-52/3mte,Deutsche Lufthansa,0,U1,Commercial_civil,Commercial
3,Dec,2011,CASA/IPTN NC-212 Aviocar 200,Merpati Nusantara,0,A2,Commercial_civil,Commercial
3,Dec,1938,de Havilland DH.86 Express,Imperial Airways,,U1,Commercial_civil,Commercial
3,Dec,1942,Douglas C-47 (DC-3),USAAF,,A1,Military_transport,Military
3,Dec,1941,Short Sunderland,RAF,9,A1,Military_naval,Military
3,Jul,1941,Consolidated PBY-5 Catalina,US Navy,,A1,Military_naval,Military
3,Jul,2006,DHC-6 Twin Otter 300,Yeti Airlines,0,A2,Commercial_civil,Commercial
3,Jul,1956,Douglas C-47B (DC-3),Czechoslovak AF,21,A1,Military_research,Military
3,Jul,1947,Douglas C-54G (DC-4),USAAF,6,A1,Military_transport,Military
3,Jul,1969,Douglas DC-3,SAETA,0,H2,Military_research,Military
3,Jun,1993,BN-2A-20 Islander,North Coast Aviation,,A1,Commercial_general,Commercial
3,Jun,1942,Consolidated PBY-5A Catalina,US Navy,,A1,Military_naval,Military
3,Jun,1945,Curtiss C-46D,USAAF,,A1,Military_transport,Military
3,Jun,1945,Curtiss C-46D,USAAF,,A1,Military_transport,Military
3,Jun,1945,Douglas C-47B (DC-3),USAAF,0,A1,Military_research,Military
3,Jun,1945,Douglas DC-3A,"Aerovias Brasil, lsf TACA",0,A1,Military_research,Military
3,Jun,1945,Martin PBM-5 Mariner,US Navy,1,C1,Military_research,Military
3,Mar,1940,Bloch 220,Air France,3,A1,Commercial_civil,Commercial
3,Mar,1942,Consolidated 28-5MNE Catalina,RAF,,C1,Military_research,Military
3,Mar,1942,Consolidated 28-5MNE Catalina,RAF,,C1,Military_research,Military
3,Mar,1942,Consolidated PBY-4 Catalina,US Navy,,C1,Military_naval,Military
3,Mar,1942,Consolidated PBY-4 Catalina,US Navy,,C1,Military_naval,Military
3,Mar,1942,Consolidated PBY-5 Catalina,Dutch Navy,,C1,Military_naval,Military
3,Mar,1942,Consolidated PBY-5 Catalina,Dutch Navy,,C1,Military_naval,Military
3,Mar,1942,Consolidated PBY-5 Catalina,Dutch Navy,,C1,Military_naval,Military
3,Mar,1942,Consolidated PBY-5 Catalina,Dutch Navy,,C1,Military_naval,Military
3,Mar,1942,Douglas DC-3-194B,KNILM,0,C1,Military_research,Military
3,Mar,1942,Douglas DC-3-194B,KNILM,4,C1,Military_research,Military
3,Mar,1942,Lockheed 18 Lodestar,Netherlands East Indies AF,0,C1,Military_transport,Military
3,Mar,1942,Short S.23 Empire Flying Boat Mk I,BOAC,,C1,Military_research,Military
3,May,1939,Consolidated PBY-4 Catalina,US Navy,,A1,Military_naval,Military
3,Nov,2001,Cessna F406 Caravan II,GJ Air,3,A1,Commercial_general,Commercial
3,Nov,2001,NAMC YS-11A-214,Trygon,0,O1,Military_research,Military
3,Oct,2006,BAe 3202 Jetstream 32,Eastern Airways,0,A2,Commercial_civil,Commercial
3,Oct,2006,Boeing 737-2T4,Mandala Airlines,0,A1,Commercial_civil,Commercial
3,Oct,2006,Boeing 737-4Y0,THY,0,H2,Commercial_civil,Commercial
3,Oct,1941,Lisunov PS-84,Aeroflot,1,A1,Commercial_civil,Commercial
3,Oct,1941,Sikorsky S-42B,Pan Am,2,A1,Commercial_civil,Commercial
3,Oct,1942,Vought-Sikorsky VS-44,American Export Airlines,11,A1,Military_research,Military
3,Sep,1947,Douglas C-47A (DC-3),Hellenic Airlines,3,A1,Military_research,Military
3,Sep,1929,Ford 5-AT-B Tri-Motor,Transcontinental Air Transport - TAT,8,A1,Military_research,Military
3,Sep,1938,Ford 5-AT-D Tri-Motor,Johnson Flying Service,0,A1,Military_research,Military
4,Apr,1961,Douglas C-47 (DC-3),Eastern Provincial Airways,0,A1,Military_transport,Military
4,Apr,1941,Ford 5-AT-. Tri-Motor,TACA de Nicaragua,2,A1,Military_research,Military
4,Aug,1972,Douglas C-47B (DC-3),South African AF,0,A1,Military_research,Military
4,Aug,1972,Douglas DC-3-454,Mercer Airlines,0,A1,Military_research,Military
4,Aug,2006,Embraer EMB-110P1 Bandeirante,AirNow,1,A1,Commercial_civil,Commercial
4,Aug,1931,Fokker F.IX,KLM,0,A1,Commercial_civil,Commercial
4,Aug,1972,Ilyushin Il-14M,Aeroflot / Yakutsk,0,A1,Commercial_civil,Commercial
4,Aug,1939,Junkers Ju-52/3mte,Deutsche Lufthansa,7,A1,Commercial_civil,Commercial
4,Aug,2006,Let L-410UVP-E,Unknown,,A1,Military_research,Military
4,Aug,1941,Lockheed 14-WF62 Super Electra,BOAC,,A1,Military_transport,Military
4,Dec,1984,Airbus A300C4-620,Kuwait Airways,2,H2,Commercial_civil,Commercial
4,Dec,2011,Beech A100 King Air,Air Tropiques,0,A1,Military_research,Military
4,Dec,1940,Douglas DC-3A-197C,United Airlines,10,A1,Commercial_civil,Commercial
4,Dec,1940,Ford 5-AT-B Tri-Motor,TACA,,A1,Commercial_civil,Commercial
4,Dec,1936,Junkers Ju-52/3m,Deutsche Lufthansa,6,A1,Commercial_civil,Commercial
4,Dec,1939,Junkers Ju-52/3mlu,Ala Littoria,4,A1,Commercial_civil,Commercial
4,Dec,1984,Let L-410MA,Aeroflot / Central Region,17,A1,Military_research,Military
4,Feb,1942,Douglas C-53-DO (DC-3),USAAF,0,A1,Military_transport,Military
4,Jan,1941,Douglas R2D-1 (DC-2),US Navy,11,A1,Military_naval,Military
4,Jan,1941,Junkers Ju-52/3mg6e,German AF,1,A1,Commercial_civil,Commercial
4,Jan,1938,Junkers Ju-52/3mte,Deutsche Lufthansa,6,A1,Commercial_civil,Commercial
4,Jun,1947,Amiot AAC.1 (Junkers Ju-52),Air France,3,A1,Commercial_civil,Commercial
4,Jun,1945,Douglas C-47A (DC-3),USAAF,,A1,Military_research,Military
4,Jun,1945,Douglas Dakota III (DC-3),RAF,,A1,Military_research,Military
4,Jun,1945,Douglas DC-3-228F,Pan Am,0,A1,Military_research,Military
4,Jun,1976,Lockheed L-188A Electra,Air Manila Int.,45+ 1,A1,Commercial_civil,Commercial
4,Mar,1956,Handley Page HP.81 Hermes IV,Skyways,0,C1,Military_research,Military
4,May,1942,Consolidated PBY-5 Catalina,RAAF,0,C1,Military_naval,Military
4,May,1942,Consolidated PBY-5A Catalina,US Navy,,A1,Military_naval,Military
4,May,1956,Vickers 610 Viking 1B,Argentine AF,3,A1,Military_research,Military
4,Nov,1938,de Havilland DH.86 Express,Jersey Airways,13+ 1,A1,Commercial_civil,Commercial
4,Nov,1942,Douglas C-49H (DC-3),RAF,,A1,Military_transport,Military
4,Nov,1942,Douglas C-53,USAAF,0,A2,Military_transport,Military
4,Nov,1940,Douglas DC-3-197,United Airlines,10,A1,Commercial_civil,Commercial
4,Nov,1942,Douglas DC-3-209A,TWA,0,A1,Military_research,Military
4,Nov,1940,Junkers Ju-52/3mbe,LAB,14,A1,Commercial_civil,Commercial
4,Nov,1936,Junkers Ju-52/3mge,HISMA,,C1,Commercial_civil,Commercial
4,Oct,1940,de Havilland DH.95 Flamingo,RAF,,A1,Military_research,Military
4,Oct,1940,Douglas DC-1-109,Iberia,0,A1,Commercial_civil,Commercial
4,Sep,1947,Avro 685 York C.1,RAF,0,O1,Military_others,Military
4,Sep,1942,Douglas XC-32 (DC-2),USAAF,,U1,Military_research,Military
4,Sep,1951,Lockheed P2V-3 Neptune,US Navy,7,A1,Military_fighter,Military
4,Sep,1951,Lockheed P2V-3 Neptune,US Navy,,A1,Military_fighter,Military
5,Apr,1942,Consolidated PBY-5A Catalina,US Navy,9,A1,Military_naval,Military
5,Apr,1956,Douglas C-47A (DC-3),REAL,0,A2,Military_research,Military
5,Apr,1961,Douglas C-47A (DC-3),French AF,0,A1,Military_research,Military
5,Aug,1947,Catalina IVB (PBY-5A),Vingtor Luftveier,0,A1,Military_research,Military
5,Dec,1942,Douglas C-47 (DC-3),USAAF,12,A1,Military_transport,Military
5,Dec,1937,Short S.23 Empire Flying Boat Mk I,Imperial Airways,2,A1,Military_research,Military
5,Feb,1940,Nakajima/Douglas DC-2,Imperial Japanese Airways,0,A1,Military_research,Military
5,Jul,1969,Antonov An-2R,Aeroflot / Far East,4,A1,Military_transport,Military
5,Jul,1986,Boeing 707-300,Sudan Airways,0,H2,Commercial_civil,Commercial
5,Jul,1947,Douglas C-47B (DC-3),French AF,,A1,Military_research,Military
5,Jul,2006,Sabreliner 40,Vigo Jet,0,A1,Commercial_general,Commercial
5,Jul,1947,Short Sunderland GR.5,RAF,6,A1,Military_naval,Military
5,Jun,1942,Consolidated PBY-5A Catalina,US Navy,9,A1,Military_naval,Military
5,Jun,1945,Curtiss C-46A,USAAF,,A1,Military_transport,Military
5,Jun,1945,Curtiss C-46D,USAAF,,A1,Military_transport,Military
5,Jun,1945,Curtiss C-46D,USAAF,,A1,Military_transport,Military
5,Jun,1945,Douglas C-47 (DC-3),USAAF,7,A1,Military_transport,Military
5,Jun,1945,Douglas Dakota III (DC-3),RAF,4,A1,Military_research,Military
5,Jun,1930,Ford 5-AT-B Tri-Motor,Colonial Air Transport,1,A1,Military_research,Military
5,Jun,1939,Short Sunderland I,RAF,4,A1,Military_naval,Military
5,Mar,1941,Consolidated PBY-2 Catalina,US Navy,,A1,Military_naval,Military
5,Mar,1942,Douglas C-39 (DC-2),USAAF,7,A1,Military_transport,Military
5,Mar,1956,Douglas C-47D (DC-3),USAF,0,A1,Military_research,Military
5,Mar,1934,Ford 4-AT-B Tri-Motor,Morgan Air Lines,1,A1,Military_research,Military
5,Mar,1940,Ford 5-AT-B Tri-Motor,Mexicana,0,A1,Military_research,Military
5,Mar,1936,Ford 5-AT-D Tri-Motor,CNAC,0,A1,Military_research,Military
5,Nov,1942,Consolidated Catalina IIIA,RAF,9,A1,Military_transport,Military
5,Nov,1942,Douglas C-47 (DC-3),USAAF,8,A1,Military_transport,Military
5,Nov,1942,Douglas C-53 Skytrooper (DC-3),USAAF,0,A1,Military_transport,Military
5,Nov,1942,Junkers Ju-52/3mg4e,German AF,5,A1,Commercial_civil,Commercial
5,Sep,1947,Avro 691 Lancastrian C.3,BSAA,0,A1,Military_others,Military
5,Sep,1942,Consolidated PBY-5 Catalina,US Navy,,A1,Military_naval,Military
5,Sep,1939,Vickers Valentia,RAF,0,A1,Military_research,Military
6,Apr,1961,CASA 352 (Junkers Ju-52),Spanish AF,,U1,Military_research,Military
6,Apr,1937,Douglas DC-2-115M,LAPE,0,C1,Military_transport,Military
6,Apr,1937,Junkers Ju-52/3mg3e,German AF,,A1,Commercial_civil,Commercial
6,Aug,1941,Consolidated PBY-2 Catalina,US Navy,,A1,Military_naval,Military
6,Aug,1942,Consolidated PBY-5 Catalina,US Navy,8,A1,Military_naval,Military
6,Aug,1947,Consolidated PBY-5A Catalina,US Navy,20,A1,Military_naval,Military
6,Aug,1947,Douglas C-47 (DC-3),Indamer,0,O1,Military_transport,Military
6,Aug,1937,Douglas DC-2-152,Aeroflot / International,6,A1,Military_transport,Military
6,Aug,1947,Lisunov Li-2,Aeroflot,4,A1,Commercial_civil,Commercial
6,Dec,1941,Consolidated PBY-5 Catalina,Dutch Navy,5,A1,Military_naval,Military
6,Dec,1942,Douglas C-48B (DC-3),USAAF,,A1,Military_transport,Military
6,Dec,1984,Embraer EMB-110P1 Bandeirante,PBA,13,A1,Commercial_civil,Commercial
6,Dec,1938,Focke-Wulf Fw 200,Deutsche Lufthansa,0,A1,Commercial_civil,Commercial
6,Dec,1940,Handley Page HP.42E,RAF,0,O1,Military_research,Military
6,Feb,1941,de Havilland DH.66 Hercules,Stephens Aviation,1,A1,Commercial_civil,Commercial
6,Feb,1941,Lockheed 14-H2 Super Electra,TCAL,12,A1,Military_transport,Military
6,Feb,1942,Short S.25 Sunderland,RAF,12,A1,Military_research,Military
6,Jul,1969,Beech 99,Air South,14,A1,Military_research,Military
6,Jul,2006,Beriev Be-200ChS,"TANTK, opf Serviço Nacional de Bombeiros",0,A2,Commercial_civil,Commercial
6,Jul,1956,Boeing KC-97E Stratofreighter,USAF,6,A1,Military_research,Military
6,Jul,2006,Canadair CL-215,Hellenic AF,0,A1,Military_naval,Military
6,Jul,1956,Curtiss C-46F,TransAir,,A1,Military_transport,Military
6,Jun,1945,Consolidated C-87 Liberator Express,USAAF,,A1,Military_transport,Military
6,Jun,1993,DHC-6 Twin Otter 300,Aerotaca,2,A1,Military_research,Military
6,Jun,1939,Douglas DC-2-115E,KLM,0+ 1,A2,Military_transport,Military
6,Jun,1976,GAF Nomad N.22B,Sabah Air,11,A1,Commercial_civil,Commercial
6,Jun,1976,Lisunov Li-2,MAP Zhukovski,4,A1,Military_transport,Military
6,Jun,1997,Vickers 781D Viscount,Bazair,23,A1,Military_research,Military
6,May,1980,Boeing 727-172C,TAP,0,H2,Commercial_civil,Commercial
6,May,1942,Consolidated PBY-5 Catalina,RAAF,9,A1,Military_naval,Military
6,May,1961,Douglas C-47B (DC-3),UAA,0,A1,Military_research,Military
6,May,1942,Douglas C-49G (DC-3),RAF,,A1,Military_transport,Military
6,May,1935,Douglas DC-2-112,TWA,5,A1,Military_transport,Military
6,May,1942,Douglas DC-3A-414,RAF,0,C1,Military_research,Military
6,May,1939,Junkers Ju-52/3m,Eurasia,0,C1,Commercial_civil,Commercial
6,May,1980,Learjet 23,Kennedy Flite Center,2,A1,Commercial_general,Commercial
6,May,1942,Lockheed 18 Lodestar,South African AF,,A1,Military_transport,Military
6,Nov,1942,Consolidated PBY-5 Catalina,US Navy,,A1,Military_naval,Military
6,Nov,2006,DHC-6 Twin Otter 300,Provincial Airlines,0,A2,Commercial_civil,Commercial
6,Nov,1942,Douglas C-49D (DC-3),USAAF,,A1,Military_transport,Military
6,Nov,1942,Douglas DC-5-511,ADAT,0,A1,Commercial_civil,Commercial
6,Nov,1929,Junkers G.24bi,Deutsche Lufthansa,7,A1,Military_transport,Military
6,Nov,1934,Junkers Ju-52/3mge,Deutsche Reichsbahn-Gesellschaft,5,A1,Commercial_civil,Commercial
6,Oct,1940,de Havilland DH.91 Albatross,BOAC,0,A1,Military_research,Military
6,Oct,1935,Douglas DC-2A-127,Standard Oil Company,3,A1,Military_transport,Military
6,Oct,1937,Douglas DC-3-194B,KLM,4,A1,Military_research,Military
6,Sep,1947,Douglas R4D-5 (DC-3),US Navy,,A1,Military_transport,Military
7,Apr,1961,Breguet 761S,French AF,0,A1,Commercial_civil,Commercial
7,Apr,1942,de Havilland DH.91 Albatross,RAF,0,A1,Military_research,Military
7,Apr,1956,Douglas C-124C Globemaster II,USAF,3,A1,Military_transport,Military
7,Apr,1936,Douglas DC-2-112,TWA,12,A1,Military_transport,Military
7,Aug,2006,Antonov An-26,Sudan AF,0,A1,Military_transport,Military
7,Aug,1951,Douglas C-47A (DC-3),Brazilian AF,4,A1,Military_research,Military
7,Aug,1940,Handley Page HP.42E,RAF,,A1,Military_research,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1941,Consolidated PBY-5 Catalina,US Navy,,C1,Military_naval,Military
7,Dec,1940,Douglas C-33 (DC-2),USAAC,,A1,Military_transport,Military
7,Dec,1942,Douglas C-47 (DC-3),USAAF,,A1,Military_transport,Military
7,Feb,1938,Junkers Ju-90V1,Junkers,1,A1,Commercial_civil,Commercial
7,Jan,1939,Douglas DC-2-115B,Swissair,5,A1,Military_transport,Military
7,Jul,2006,Antonov An-12B,Mango Airlines,6,A1,Military_transport,Military
7,Jul,1940,Dewoitine D.338,Air France,4,C1,Commercial_civil,Commercial
7,Jul,1936,Vickers Valentia,RAF,7,A1,Military_research,Military
7,Jun,1947,Amiot AAC.1 (Junkers Ju-52),Air France,,U1,Commercial_civil,Commercial
7,Jun,1945,Consolidated C-109 Liberator Expres,USAAF,,A1,Military_transport,Military
7,Jun,1976,DC-10-30,Swissair,0,A2,Military_research,Military
7,Jun,1945,Douglas C-47A (DC-3),USAAF,,A1,Military_research,Military
7,Jun,1945,Douglas Dakota IV (DC-3),RAF,24,A1,Military_research,Military
7,Jun,1945,Douglas R4D-6 (DC-3),US Navy,4,A1,Military_transport,Military
7,Jun,1993,Learjet 35A,Aero-Dienst,4,A1,Commercial_general,Commercial
7,Mar,1938,Potez 62,Air France,7,A1,Commercial_civil,Commercial
7,May,1937,Douglas C-33 (DC-2),USAAC,,A1,Military_transport,Military
7,May,1961,Douglas C-47 (DC-3),Indian AF,4,A1,Military_transport,Military
7,May,1956,Douglas C-47A (DC-3),VASP,0,O1,Military_research,Military
7,May,1935,Ford 4-AT-. Tri-Motor,private,1,A1,Military_research,Military
7,Nov,1942,Consolidated PBY-5A Catalina,US Navy,,A1,Military_naval,Military
7,Nov,1939,Handley Page HP.42W,Imperial Airways,,A1,Military_research,Military
7,Nov,1941,Junkers Ju-52/3mce,Aero OY,2,A1,Commercial_civil,Commercial
7,Nov,1935,Savoia-Marchetti S.73P,Sabena,0,A1,Military_naval,Military
7,Sep,1951,Antonov An-2,Aeroflot / Ukraine,5,A1,Commercial_civil,Commercial
7,Sep,2006,Boeing 727-277,DHL Aviation,0,A1,Commercial_civil,Commercial
7,Sep,1938,CANT Z.506C,Ala Littoria,,A1,Military_naval,Military
7,Sep,1942,Consolidated PBY-5 Catalina,US Navy,,A1,Military_naval,Military
7,Sep,1951,Douglas C-47A (DC-3),USAF,,A1,Military_research,Military
7,Sep,1941,Douglas DC-2-120,RAF,,A1,Military_transport,Military
7,Sep,1942,Douglas DC-3A-228,Mexicana,,A1,Military_research,Military
7,Sep,1942,Short Sunderland,RAF,7,A1,Military_naval,Military
8,Apr,1961,Curtiss C-46A,Texaco,0,A1,Military_transport,Military
